date,weather
2019-09-09,25.1
2019-09-10,23.8
2019-09-11,24.3
2019-09-12,21.0
2019-09-13,23.3
2019-09-14,22.4
2019-09-15,24.2
2019-09-16,24.5
2019-09-17,23.5
2019-09-18,21.0
2019-09-19,19.5
2019-09-20,19.6
2019-09-21,19.6
2019-09-22,18.6
2019-09-23,20.0
2019-09-24,19.8
2019-09-25,20.9
2019-09-26,22.9
2019-09-27,22.9
2019-09-28,23.7
2019-09-29,22.6
2019-09-30,22.4
2019-10-01,23.1
2019-10-02,21.6
2019-10-03,22.4
2019-10-04,22.4
2019-10-05,18.7
2019-10-06,18.1
2019-10-07,14.8
2019-10-08,14.7
2019-10-09,13.6
2019-10-10,15.2
2019-10-11,18.8
2019-10-12,17.9
2019-10-13,17.2
2019-10-14,14.4
2019-10-15,14.5
2019-10-16,14.6
2019-10-17,15.4
2019-10-18,17.0
2019-10-19,17.0
2019-10-20,16.5
2019-10-21,17.1
2019-10-22,18.1
2019-10-23,17.0
2019-10-24,18.3
2019-10-25,16.7
2019-10-26,10.0
2019-10-27,11.0
2019-10-28,12.9
2019-10-29,12.5
2019-10-30,11.2
2019-10-31,14.8
2019-11-01,14.9
2019-11-02,13.6
2019-11-03,14.7
2019-11-04,13.8
2019-11-05,12.4
2019-11-06,11.0
2019-11-07,9.2
2019-11-08,6.8
2019-11-09,9.5
2019-11-10,10.0
2019-11-11,11.2
2019-11-12,9.3
2019-11-13,7.2
2019-11-14,1.3
2019-11-15,5.6
2019-11-16,6.8
2019-11-17,8.3
2019-11-18,4.6
2019-11-19,0.2
2019-11-20,0.5
2019-11-21,4.2
2019-11-22,9.7
2019-11-23,12.1
2019-11-24,9.8
2019-11-25,1.9
2019-11-26,6.6
2019-11-27,3.1
2019-11-28,3.5
2019-11-29,1.5
2019-11-30,4.1
2019-12-01,4.6
2019-12-02,-0.1
2019-12-03,0.5
2019-12-04,2.0
2019-12-05,-4.4
2019-12-06,-5.9
2019-12-07,-2.4
2019-12-08,-0.9
2019-12-09,3.2
2019-12-10,8.1
2019-12-11,6.3
2019-12-12,-0.7
2019-12-13,2.1
2019-12-14,2.7
2019-12-15,5.3
2019-12-16,7.8
2019-12-17,7.7
2019-12-18,0.8
2019-12-19,-0.8
2019-12-20,-1.1
2019-12-21,-1.2
2019-12-22,4.1
2019-12-23,3.4
2019-12-24,0.8
2019-12-25,2.0
2019-12-26,2.0
2019-12-27,-1.7
2019-12-28,1.1
2019-12-29,3.8
2019-12-30,2.7
2019-12-31,-7.9
